trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.1577,50000001,317132098
GAP/bc-12.trace.gz,0.1572,50000000,318157748
GAP/bfs-10.trace.gz,0.2414,50000002,207085091
GAP/bfs-14.trace.gz,0.1713,50000006,291813194
GAP/cc-13.trace.gz,0.2928,50000000,170751538
GAP/cc-14.trace.gz,0.3254,50000006,153673315
GAP/cc-5.trace.gz,0.3548,50000000,140940495
GAP/sssp-10.trace.gz,0.3504,50000000,142699732
GAP/sssp-14.trace.gz,0.3503,50000005,142714709
charlie/charlie_0000.champsim.gz,0.7043,50000006,70993744
charlie/charlie_0001.champsim.gz,0.8251,50000003,60597413
charlie/charlie_0002.champsim.gz,0.4694,50000005,106526828
charlie/charlie_0003.champsim.gz,0.7033,50000000,71095330
charlie/charlie_0004.champsim.gz,0.5874,50000002,85125193
