trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.175,50000005,285636811
GAP/bc-12.trace.gz,0.1718,50000001,291045704
GAP/bfs-10.trace.gz,0.306,50000006,163403526
GAP/bfs-14.trace.gz,0.2378,50000006,210251947
GAP/cc-13.trace.gz,0.3781,50000000,132236014
GAP/cc-14.trace.gz,0.4266,50000006,117206940
GAP/cc-5.trace.gz,0.4737,50000000,105551744
GAP/sssp-10.trace.gz,0.4513,50000000,110786682
GAP/sssp-14.trace.gz,0.4539,50000002,110155505
charlie/charlie_0000.champsim.gz,0.7088,50000006,70544884
charlie/charlie_0001.champsim.gz,0.8307,50000003,60189653
charlie/charlie_0002.champsim.gz,0.4695,50000005,106504604
charlie/charlie_0003.champsim.gz,0.7032,50000000,71104655
charlie/charlie_0004.champsim.gz,0.5894,50000002,84826883
