trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.1313,50000002,380839411
GAP/bc-12.trace.gz,0.1245,50000007,401479808
GAP/bfs-10.trace.gz,0.4426,50000006,112976216
GAP/bfs-14.trace.gz,0.3294,50000006,151798280
GAP/cc-13.trace.gz,0.3123,50000000,160097645
GAP/cc-14.trace.gz,0.3503,50000006,142717132
GAP/cc-5.trace.gz,0.3813,50000000,131139663
GAP/sssp-10.trace.gz,0.4043,50000006,123655804
GAP/sssp-14.trace.gz,0.4094,50000002,122134817
charlie/charlie_0000.champsim.gz,0.718,50000006,69641664
charlie/charlie_0001.champsim.gz,0.8053,50000003,62092083
charlie/charlie_0002.champsim.gz,0.4685,50000005,106732335
charlie/charlie_0003.champsim.gz,0.6976,50000000,71670340
charlie/charlie_0004.champsim.gz,0.5915,50000002,84536443
