trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.1742,50000000,287002357
GAP/bc-12.trace.gz,0.157,50000001,318517814
GAP/bfs-10.trace.gz,0.3497,50000006,142978456
GAP/bfs-14.trace.gz,0.2733,50000006,182971627
GAP/cc-13.trace.gz,0.3862,50000000,129470458
GAP/cc-14.trace.gz,0.4365,50000006,114545501
GAP/cc-5.trace.gz,0.486,50000000,102873967
GAP/sssp-10.trace.gz,0.4634,50000006,107900356
GAP/sssp-14.trace.gz,0.4694,50000002,106526124
charlie/charlie_0000.champsim.gz,0.7101,50000006,70408054
charlie/charlie_0001.champsim.gz,0.8248,50000003,60620623
charlie/charlie_0002.champsim.gz,0.4706,50000005,106245613
charlie/charlie_0003.champsim.gz,0.7003,50000000,71393290
charlie/charlie_0004.champsim.gz,0.5898,50000002,84768923
