trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.1745,50000001,286455474
GAP/bc-12.trace.gz,0.1669,50000000,299662035
GAP/bfs-10.trace.gz,0.3528,50000006,141719176
GAP/bfs-14.trace.gz,0.2762,50000006,181003847
GAP/cc-13.trace.gz,0.3863,50000000,129433928
GAP/cc-14.trace.gz,0.4359,50000004,114715167
GAP/cc-5.trace.gz,0.4423,50000000,113046390
GAP/sssp-10.trace.gz,0.4629,50000006,108017914
GAP/sssp-14.trace.gz,0.4695,50000002,106492274
charlie/charlie_0000.champsim.gz,0.6934,50000006,72108404
charlie/charlie_0001.champsim.gz,0.8367,50000003,59757682
charlie/charlie_0002.champsim.gz,0.4702,50000005,106338386
charlie/charlie_0003.champsim.gz,0.7048,50000000,70944020
charlie/charlie_0004.champsim.gz,0.5909,50000002,84612985
