trace,IPC,instructions,cycles
GAP/bc-0.trace.gz,0.1751,50000001,285507221
GAP/bc-12.trace.gz,0.172,50000000,290756558
GAP/bfs-10.trace.gz,0.3074,50000006,162643436
GAP/bfs-14.trace.gz,0.2409,50000006,207584717
GAP/cc-13.trace.gz,0.3785,50000000,132109654
GAP/cc-14.trace.gz,0.4281,50000006,116796628
GAP/cc-5.trace.gz,0.4759,50000000,105062751
GAP/sssp-10.trace.gz,0.4558,50000000,109688822
GAP/sssp-14.trace.gz,0.4587,50000002,108995824
charlie/charlie_0000.champsim.gz,0.708,50000006,70624374
charlie/charlie_0001.champsim.gz,0.8312,50000001,60150383
charlie/charlie_0002.champsim.gz,0.4688,50000005,106657770
charlie/charlie_0003.champsim.gz,0.7037,50000000,71051385
charlie/charlie_0004.champsim.gz,0.5898,50000002,84767853
